label,text
product, از کجا می‌توانم برای کالا تهیه کنم؟
product, قیمت این کالا برای هتل چقدر است؟
product, آیا امکان خرید عمده کالا  وجود دارد؟
product, موجودی فعلی این کالا  چقدر است؟
product, آیا می‌توانم سفارش کالا را لغو کنم؟
product, وضعیت سفارش کالای را چطور پیگیری کنم؟
product, برای این کالا تخفیف هتلی دارید؟
product, کیفیت این کالا برای استفاده در هتل چگونه است؟
product, آیا این کالا برای استفاده در اتاق‌های هتل مناسب است؟
product, آیا امکان خرید فوری کالا  هست؟
product, چه کالای جایگزینی برای این کالا پیشنهاد می‌دهید؟
product, چگونه مطمئن شوم کالا اصل است؟
product, این کالا گارانتی دارد؟
product, شرایط بازگشت کالا چیست؟
product, آیا امکان تست کالا قبل از خرید وجود دارد؟
product, هزینه حمل این کالا چقدر است؟
product, چه تعداد از این کالا می‌توانم یکجا سفارش دهم؟
product, آیا این کالا برای رستوران  مناسب است؟
product, آیا کالا برای لاندری هتل قابل استفاده است؟
product, چطور می‌توانم کاتالوگ کالاهای هتلی را ببینم؟
product, آیا کالا ضدآب و ضد رطوبت است؟
product, آیا قیمت این کالا برای هتل‌ها متفاوت است؟
product, چه برندهایی از این کالا دارید؟
product, آیا این کالا برای هتل‌های ۵ ستاره مناسب است؟
product, زمان تحویل کالا  چقدر است؟
product, موجودی انبار شما از این کالا کافی است؟
product, آیا امکان بازدید حضوری برای بررسی کالا هست؟
product, آیا این کالا در رنگ‌های مختلف موجود است؟
product, آیا کالای مصرفی برای اتاق‌ها دارید؟
product, این کالا برای سالن کنفرانس  مناسب است؟
product, محصول مناسب نظافت اتاق‌ها چیست؟
product, برای SPA هتل چه کالاهایی پیشنهاد می‌کنید؟
product, آیا محصولات یک‌بارمصرف هتلی دارید؟
product, چطور کالا را با لوگوی هتل سفارشی‌سازی کنیم؟
product," برای خرید تعداد زیاد، قیمت کمتر می‌شود؟"
product, آیا این کالا برای استفاده طولانی مناسب است؟
product, چه مدل‌های اقتصادی‌تر از این کالا دارید؟
product, برای این کالا بسته‌بندی اختصاصی دارید؟
product, آیا کالا از مواد ضد حساسیت ساخته شده؟
product, آیا تحویل سریع برای این کالا دارید؟
product, این کالا برای میهمانان خارجی مناسب است؟
product, آیا کالای سازگار با محیط‌زیست دارید؟
product, چطور بهترین کالا را برای هتل انتخاب کنم؟
product, آیا کالا دارای استاندارد بین‌المللی است؟
product, این کالا در انبار هتل ثبت شده است؟
product, موجودی انبار هتل برای این کالا چقدر است؟
product, چه تعداد کالا از انبار خارج شده؟
product, آیا این کالا به بخش خانه‌داری ارسال شده؟
product, چه کالایی امروز وارد انبار شده؟
product, کالای آسیب‌دیده چطور ثبت می‌شود؟
product, چه کالایی نیاز به سفارش مجدد دارد؟
product, کالای برگشتی از اتاق‌ها ثبت شده؟
product, چطور کالای مرجوعی را پردازش کنیم؟
product, زمان رسیدن بار به هتل چه زمانی است؟
product, بار امشب به هتل می‌رسد؟
product, پیک کالا چه زمانی می‌رسد؟
product, چه کسی تحویل بار را ثبت کرده؟
product, بسته‌بندی کالا برای انبار مناسب است؟
product, کالای شکستنی چگونه باید حمل شود؟
product, آیا کالا رسید انبار دارد؟
product, چطور حواله خروج کالا صادر کنم؟
product, انتقال کالا بین انبارهای هتل چگونه انجام می‌شود؟
product, کالا در مسیر حمل آسیب دیده؟
product, گزارش کمبود کالا ارسال شده؟
product, آیا کالا نیاز به شرایط دمایی خاص دارد؟
product, کالا در سردخانه موجود است؟
product, آیا امکان انبارگردانی امروز وجود دارد؟
product, زمان دقیق تحویل کالا چه ساعتی است؟
product, آیا کالا هنوز در انبار مرکزی است؟
product, این کالا در مسیر ارسال گم نشده؟
